"Path","InRepoA","InRepoB","A_FullPath","B_FullPath","A_LastWrite","B_LastWrite","A_Size","B_Size","A_Hash","B_Hash"
"__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\__pycache__\__init__.cpython-311.pyc","23/02/2026 12:32:44 PM","17/02/2026 6:04:45 PM","192","192","3A150F69BFFA76D8722B54E0DED64BB14A09AE408386D7295B34392DFDDD1F6C","3A150F69BFFA76D8722B54E0DED64BB14A09AE408386D7295B34392DFDDD1F6C"
".editorconfig","True","True","C:\development\forensic_tracer_installer_project_root\.editorconfig","C:\development\forensic_suite_v2\.editorconfig","23/02/2026 12:32:44 PM","22/02/2026 3:49:06 AM","2880","2992","B5672B896D75F6A3F64ED9606EF31B7AF2A33C81A6CFC7D687974B7E13DBCC10","F38C514A9C7B8E2FE3C5DADACFB66FE777250CA4D2C20C5570692DA5DFB47C02"
".env","True","True","C:\development\forensic_tracer_installer_project_root\.env","C:\development\forensic_suite_v2\.env","23/02/2026 12:32:44 PM","6/02/2026 7:03:01 PM","1143","1159","4F326B02C44CCAC4D4FDD2D880BF903587C4ECDAF183ECDB42EC5E012FFA9AE9","356C1D737A0BF5B95EB7856145559A2BEFEAC8681934FF37903DC4EDE657949E"
".flake8","True","True","C:\development\forensic_tracer_installer_project_root\.flake8","C:\development\forensic_suite_v2\.flake8","23/02/2026 12:32:44 PM","19/02/2026 4:16:44 AM","694","718","10A00EDDB4C9710DABF233E82D291438F6973B7D5E55D40EDAC8C5C94A6BE5A5","1284C20BA4C5A636B9B5CD331F54598F1D74C06FE772C7FC03CA49005DADECD0"
".forensic_suite.code-workspace","True","False","C:\development\forensic_tracer_installer_project_root\.forensic_suite.code-workspace",,"23/02/2026 12:32:44 PM",,"3521",,"0B0BC33631737C0939E031D9A6FAB0D60F04503EE32ECE18F1BC348615396C85",
".gitattributes","True","True","C:\development\forensic_tracer_installer_project_root\.gitattributes","C:\development\forensic_suite_v2\.gitattributes","23/02/2026 12:32:44 PM","22/02/2026 3:49:52 AM","2829","2907","24C0877ED8F578EA9E915F98C1590FAD49EBB3B78DF587A92E386F26888717CE","C7E2860CBDF567A8F5B2879F284723B2738B39D58EAF06290FB67594F0A09D37"
".github\workflows\ci.yml","True","True","C:\development\forensic_tracer_installer_project_root\.github\workflows\ci.yml","C:\development\forensic_suite_v2\.github\workflows\ci.yml","23/02/2026 12:32:44 PM","19/02/2026 4:15:40 AM","532","562","97D56B9E3A003A4B08443C542C94243A2AAB42C3C6F5F726CB0F7FC95A101D6A","CBDCF841789B0AF9315223ECE850F490047406FBE60804D5E896AF726FE62153"
".github\workflows\orchestrator-dryrun.yml","True","False","C:\development\forensic_tracer_installer_project_root\.github\workflows\orchestrator-dryrun.yml",,"23/02/2026 12:32:44 PM",,"838",,"A5CA265E4C2E67FB36ED2E77963BFD113E64E1A528FE8597DEB68240BC5F9047",
".github\workflows\release.yml","True","False","C:\development\forensic_tracer_installer_project_root\.github\workflows\release.yml",,"23/02/2026 12:32:44 PM",,"643",,"4584025A7310C565522D8BC65CC60BDCB2E6172ADC9A9582369360338B5BCEDD",
".gitignore","True","True","C:\development\forensic_tracer_installer_project_root\.gitignore","C:\development\forensic_suite_v2\.gitignore","23/02/2026 12:32:44 PM","22/02/2026 3:50:25 AM","1309","1035","E951AEFBAF8C31B3594EBC16273B688EA86112C493554FDBA76089A130D05014","7ACEBC2B5F2A6E3AD12F5D7034AA58CA6F1073F9121BDCBBB6C6DC01FE8990B8"
"Authoritative_Forensic_Suite_V2_Deployment_Tree_(Target Machine).md","True","False","C:\development\forensic_tracer_installer_project_root\Authoritative_Forensic_Suite_V2_Deployment_Tree_(Target Machine).md",,"24/02/2026 1:59:29 PM",,"5086",,"A5A90EAA0B437961BFC42FBF5DC816A9FFAF2AD284B3B83792CC5842963FD599",
"Auto-Deploy-Full.ps1","True","False","C:\development\forensic_tracer_installer_project_root\Auto-Deploy-Full.ps1",,"23/02/2026 12:32:44 PM",,"1608",,"FB8FA312C0B9659FC1C992CE9CE2EA52612A95279EACFACC50039796F1321723",
"bootstrap.ps1","True","False","C:\development\forensic_tracer_installer_project_root\bootstrap.ps1",,"23/02/2026 6:01:26 PM",,"1908",,"B7AB86750C8FE6F05FF1C25F0139E776B387C014836F64A123E87898D11594B0",
"build_and_deploy_all.ps1","False","True",,"C:\development\forensic_suite_v2\build_and_deploy_all.ps1",,"19/02/2026 3:28:44 PM",,"1069",,"5F5C571AB812FB2BCDBA10F59C568E761EC4A1396177F77DE1E2B1F5A9192A7E"
"build_and_deploy.ps1","True","False","C:\development\forensic_tracer_installer_project_root\build_and_deploy.ps1",,"24/02/2026 7:26:15 AM",,"4495",,"C8ED51ECBBD334C1B098497DF55EB5652392CB30FDDF8CE49E2CA7CE78098EC4",
"build_final.ps1","True","False","C:\development\forensic_tracer_installer_project_root\build_final.ps1",,"27/02/2026 8:41:14 AM",,"1632",,"D14A045A5555B74C85E3BC119B24A0AF95ADD45E9EBA41D062FC5411B21D7176",
